title,money,knoladge,company,addition,city,link
Заведующий производством пекарня,108.0,,АшанПроверенный работодатель7.1,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Симферополь,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/zaveduyuschij-proizvodstvom-pekarnya-51114484.html
Специалист по сопровождению сертификации,55.0,,ТД Грасс7.1,,Волгоград,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/specialist-po-soprovozhdeniyu-sertifikacii-51073709.html
Архитектор,270.0,,Т Плюс7.1,['Полная занятость'],Екатеринбург,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/arhitektor-50880436.html
Врач-оториноларинголог (Видное),120.0,,"Стоматологические клиники ""ПрезиДЕНТ""",['Полная занятость'],В компании есть ещё 1 похожая вакансия,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/vrach-otorinolaringolog-50851644.html
Техник электроснабжения (Высоковольтное оборудование),130.0,,Московский аэропорт ДомодедовоПроверенный работодатель,"['Старт карьеры', 'Полная занятость']",Домодедово,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/tehnik-elektrosnabzheniya-50766042.html
Контролёр-охранник,25.0,,ГК Миллениум,['Опыт не нужен'],Ростов-на-Дону,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/kontroljor-ohrannik-51051665.html
Оператор по наследственному праву,189.0,,Сбербанк РоссииПроверенный работодатель8,"['Отклик без резюме', 'Сменный график']",Исилькуль,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/operator-po-nasledstvennomu-pravu-51126531.html
Электромонтер,90.0,,ГРАНЕЛЬЖКХ,,Красногорск,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/elektromonter-51051531.html
Кассир,60.0,,Азбука вкусаПроверенный работодатель7.4,"['Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/kassir-50760910.html
Продавец-консультант (ТРЦ Красный Кит),90.0,,Дом Моды HENDERSONПроверенный работодатель8.2,"['Опыт не нужен', 'Полная занятость']",Мытищи,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/prodavec-konsultant-50951841.html
Повар-универсал,61.0,,АЙЭФСИЭМ ГРУПП7.5,"['Опыт не нужен', 'Полная занятость']",Набережные Челны,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/povar-universal-50707683.html
Начинающий специалист по продажам (начало карьеры),79.0,,РостелекомПроверенный работодатель6.7,"['Опыт не нужен', 'Частичная занятость']",Ставрополь,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/nachinayuschij-specialist-po-prodazham-45549865.html
Заведующий складом,50.0,MICROSOFT OFFICE,"Группа ""М. Видео-Эльдорадо""7.2","['Опыт не нужен', 'Полная занятость']",Шахты,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/zaveduyuschij-skladom-51161597.html
Региональный коммерческий менеджер в бренд СИН/Региональный визуальный мерчандайзер,По договорённости,VM,FES retail7.4,['Полная занятость'],Москва,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/regionalnyj-kommercheskij-menedzher-v-brend-sin-51110011.html
Комплектовщик,45.0,,ПРОФСНАБ,"['Опыт не нужен', 'Полная занятость']",Тамбов,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/komplektovschik-50846230.html
Врач ультразвуковой диагностики (УЗИ),80.0,,Всеволожская КМБ7.1,"['Старт карьеры', 'Полная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/vrach-ultrazvukovoj-diagnostiki-45734335.html
Курьер на автомобиле,253.5,,Частный рекрутер Соколова Екатерина (партнер Яндекса),"['Опыт не нужен', 'Сменный график']",Москва,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/kurer-na-avtomobile-50696077.html
Контролер службы режима и контроля ТРЦ Европейский,75.0,,ЕВРОПЕЙСКИЙ,"['Опыт не нужен', 'Сменный график']",Москва,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/kontroler-sluzhby-rezhima-i-kontrolya-trc-evropejskij-46453403.html
Слесарь механосборочных работ,62.5,,АРМ-ПРО,"['Опыт не нужен', 'Доступно для соискателей от 45+ лет', 'Доступно студентам']",Электросталь,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/slesar-mehanosborochnyh-rabot-48610477.html
"Бригада по полусухой стяжке, специалист по полусухой стяжке, провильщик",125.0,,Рекорд,['Полная занятость'],Иркутск,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/brigada-po-polusuhoj-styazhke-50334187.html
Врач-колопроктолог,150.0,,"Медицинский центр ""Доктор Боголюбов""","['Старт карьеры', 'Полная занятость']",Балашиха,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/vrach-koloproktolog-27254870.html
Инженер-конструктор,120.0,,Энергоресурс,['Полная занятость'],Москва,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/inzhener-konstruktor-33529276.html
Электрогазосварщик НАКС РД/РАД,315.0,,"Барс Пром/ООО ""БАРС ПРОМ""",['Вахта'],Пермь,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/elektrogazosvarschik-naks-rd-51086651.html
Врач аллерголог-иммунолог (Братиславская),По договорённости,,"ИММА, медицинские клиникиПроверенный работодатель",['Сменный график'],"Москва, улица Перерва, 39",https://russia.superjob.ru/vacancy/search/?page=29/vakansii/vrach-allergolog-immunolog-26424525.html
Уборщица офисных помещений,65.0,,"Сеть химчисток ""Диана""Проверенный работодатель5.9","['Опыт не нужен', 'Полная занятость']","Москва, 2-я Мелитопольская улица, 12Ас1",https://russia.superjob.ru/vacancy/search/?page=29/vakansii/uborschica-ofisnyh-pomeschenij-48631343.html
Продавец-кассир (м. Китай-город),88.0,,МагнолияПроверенный работодатель7.3,"['Опыт не нужен', 'Полная занятость']","Москва, улица Покровка, 2/1с1",https://russia.superjob.ru/vacancy/search/?page=29/vakansii/prodavec-kassir-49602114.html
"Пекарь (Южноуральск, Ленина, 16)",254.33333333333334,,ПятёрочкаПроверенный работодатель6.5,['Частичная занятость'],Южноуральск,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/pekar-50763291.html
Главная медицинская сестра / Главный медицинский брат,53.5,,Российские железные дорогиПроверенный работодатель,['Полная занятость'],Новосибирск,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/glavnaya-medicinskaya-sestra-50710290.html
Слесарь по ремонту котельного оборудования,80.0,,НПО Компрессор,['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/slesar-po-remontu-kotelnogo-oborudovaniya-50680230.html
Уборщица,53.0,,"Диагностический центр ""Энерго""",['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/uborschica-30201989.html
Руководитель направления по технологии горных работ,По договорённости,,ЦЕМРОСПроверенный работодатель,,В компании есть ещё 1 похожая вакансия,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/rukovoditel-napravleniya-po-tehnologii-gornyh-rabot-51083275.html
Начальник участка (взрывные ОГР и буровые работы),350.0,O,Сибирская угольная энергетическая компания,,Нерюнгри,https://russia.superjob.ru/vacancy/search/?page=29/vakansii/nachalnik-uchastka-51039211.html
Автослесарь по ремонту грузовых автомобилей,225.0,,СЕРВИС ТРАКС,"['Опыт не нужен', 'Полная занятость']","Москва, МКАД, 23-й километр, 3к11",https://russia.superjob.ru/vacancy/search/?page=29/vakansii/avtoslesar-po-remontu-gruzovyh-avtomobilej-50700549.html
